n_vertices,n_arestas,grau_medio,coeficiente_clustering_medio,"distancia_media, network, parametro"
4960,11972,4.827419354838709,0.7978267681831134,1.1512586339493545,CSBC,NULL
1912,31299,32.73953974895397,0.3198952746693515,2.5323791570055767,twitch,NULL
1000,3984,7.968,0.03699116691339168,3.1738918918918917,barabasi,1000
2000,7984,7.984,0.019484833175824737,3.40816008004002,barabasi,2000
3000,11984,7.989333333333334,0.01488691823596887,3.5370474602645325,barabasi,3000
4000,15984,7.992,0.013381745849749799,3.6198219554888724,barabasi,4000
5000,19984,7.9936,0.010744606017036393,3.6955686337267455,barabasi,5000
6000,23984,7.994666666666666,0.01005409409965872,3.7296482191476357,barabasi,6000
7000,27984,7.9954285714285716,0.00807129587926156,3.787654848651848,barabasi,7000
8000,31984,7.996,0.0066716911505654165,3.8599000187523442,barabasi,8000
9000,35984,7.996444444444444,0.006606688535289393,3.874343075156499,barabasi,9000
1000,49648,99.296,0.09932615668812972,1.9006586586586587,erdos,0.1
1000,99744,199.488,0.1996146832868344,1.8003123123123124,erdos,0.2
1000,149909,299.818,0.30011657486804016,1.699881881881882,erdos,0.3
1000,199450,398.9,0.39928419586031594,1.6007007007007008,erdos,0.4
1000,250290,500.58,0.5011199750457022,1.498918918918919,erdos,0.5
1000,299625,599.25,0.59981773911883,1.40015015015015,erdos,0.6
1000,350053,700.106,0.7007786132485408,1.2991931931931933,erdos,0.7
1000,399585,799.17,0.7999963817980877,1.20003003003003,erdos,0.8
1000,449652,899.304,0.900216878554403,1.0997957957957958,erdos,0.9
1000,3000,6.0,0.4334357142857157,6.117503503503504,watts,0.1
1000,3000,6.0,0.31421746031746045,5.099845845845846,watts,0.2
1000,3000,6.0,0.20425317460317485,4.632412412412412,watts,0.3
1000,3000,6.0,0.1423819624819627,4.420588588588589,watts,0.4
1000,3000,6.0,0.09195389610389636,4.293065065065065,watts,0.5
1000,3000,6.0,0.04274321789321801,4.180534534534535,watts,0.6
1000,3000,6.0,0.02233463203463203,4.1336436436436435,watts,0.7
1000,3000,6.0,0.01104184704184703,4.121117117117117,watts,0.8
1000,3000,6.0,0.00545382395382395,4.094104104104104,watts,0.9
